idx,task,label_x,label_y,label_z,label_rx,label_ry,label_rz,label_gripper,pred_x,pred_y,pred_z,pred_rx,pred_ry,pred_rz,pred_gripper,mae_xyz,mae_action,cos_xyz,sign_z_match,sign_gripper_match
0,"Pick up the red rectangular peg, keep it vertical, and insert it into the rectangular slot.",0.0,0.0,-0.07999999821186066,0.0,0.0,0.0,-1.0,0.005172332748770714,-0.003560080658644438,-0.009226933121681213,0.0,0.0,0.007135916035622358,0.9908711910247803,0.02650182694196701,0.2967875003814697,0.8267267942428589,True,False
1,"Pick up the red rectangular peg, keep it vertical, and insert it into the rectangular slot.",-3.3721455110935494e-05,1.9560219763348208e-11,-0.07999999821186066,0.0,0.0,0.0,-1.0,0.011925158090889454,-0.001520697958767414,-0.022161366418004036,0.0,0.0,0.000223429873585701,0.9852317571640015,0.02377273701131344,0.2938247621059418,0.8787991404533386,True,False
2,"Pick up the red rectangular peg, keep it vertical, and insert it into the rectangular slot.",-0.0004440151678863913,2.954252814602043e-11,-0.07999999821186066,0.0,0.0,0.0,-1.0,0.0019243499264121056,-0.005508819129317999,-0.05132795497775078,0.0,0.0,0.012047676369547844,0.9950876235961914,0.012183074839413166,0.2919549345970154,0.9933775663375854,True,False
3,"Pick up the red rectangular peg, keep it vertical, and insert it into the rectangular slot.",-0.0011278510792180896,7.453418437997072e-11,-0.07999999821186066,0.0,0.0,0.0,-1.0,0.0068487380631268024,-0.0028957577887922525,-0.04122188314795494,0.0,0.0,0.018030479550361633,0.9948608875274658,0.016550153493881226,0.29464882612228394,0.9817147254943848,True,False
4,"Pick up the red rectangular peg, keep it vertical, and insert it into the rectangular slot.",-0.0016008024103939533,1.4631501565887106e-10,-0.07999999821186066,0.0,0.0,0.0,-1.0,0.010087357833981514,0.002626024652272463,-0.06198486313223839,0.0,0.0,0.009075542911887169,0.9894335269927979,0.010776440612971783,0.29011979699134827,0.9827455878257751,True,False
5,"Pick up the red rectangular peg, keep it vertical, and insert it into the rectangular slot.",-0.0019438250456005335,2.0994170291110947e-10,-0.07999999821186066,0.0,0.0,0.0,-1.0,0.009001885540783405,-0.007021789439022541,-0.009417182765901089,0.0,0.0,0.0018824655562639236,1.0078505277633667,0.02951677143573761,0.299754798412323,0.621358335018158,True,False
6,"Pick up the red rectangular peg, keep it vertical, and insert it into the rectangular slot.",-0.0022375097032636404,2.714792557423351e-10,-0.07670101523399353,0.0,0.0,0.0,-1.0,0.008022399619221687,-0.005490644834935665,-0.02676835097372532,0.0,0.0,0.016711778938770294,0.981513500213623,0.021894408389925957,0.2948440909385681,0.9313206672668457,True,False
7,"Pick up the red rectangular peg, keep it vertical, and insert it into the rectangular slot.",-0.002483673393726349,3.2801922289493746e-10,-0.06757625192403793,0.0,0.0,0.0,-1.0,0.010046449489891529,0.004039965104311705,-0.022993294522166252,0.0,0.0,0.0073945773765444756,0.9690552949905396,0.020384347066283226,0.2910861372947693,0.8895692229270935,True,False
8,"Pick up the red rectangular peg, keep it vertical, and insert it into the rectangular slot.",-0.0026977267116308212,3.820430638512562e-10,-0.059608228504657745,0.0,0.0,0.0,-1.0,-0.005004599690437317,-0.004888691008090973,-0.01576969027519226,0.0,0.0,0.014568351209163666,0.9958891868591309,0.01701136864721775,0.29449883103370667,0.9262642860412598,True,False
9,"Pick up the red rectangular peg, keep it vertical, and insert it into the rectangular slot.",-0.002907909220084548,4.363760186532062e-10,-0.0526714026927948,0.0,0.0,0.0,-1.0,-0.001888444647192955,-0.009683731012046337,-0.004060978535562754,0.0,0.0,-0.000692073255777359,0.9937276840209961,0.019771205261349678,0.2933904826641083,0.38980361819267273,True,False
